process_id,department,process_name,monthly_volume,avg_minutes,manual_share,data_availability,process_complexity,annual_hours,automation_potential,recoverable_hours,estimated_annual_benefit,feasibility_score,implementation_success,success_probability,normalized_estimated_annual_benefit,priority_score
P0142,Finance,Payment reconciliation,412,41.1,0.679,1,5,3386.64,0.3995,1352.96,40588880.0,0.12,0,0.393,0.086,0.301
P0003,Human Resources,Customer data entry,425,14.0,0.696,3,2,1190.0,0.648,771.12,23133600.0,0.6,0,0.408,0.049,0.3
P0268,Logistics,Claims review,411,14.3,0.576,4,3,1175.46,0.608,714.68,21440390.0,0.64,0,0.408,0.045,0.299
P0030,Sales,Compliance reporting,346,39.1,0.621,2,4,2705.72,0.4705,1273.04,38191238.0,0.32,0,0.393,0.081,0.299
P0239,Customer Service,Claims review,768,10.9,0.966,2,5,1674.24,0.603,1009.57,30287002.0,0.24,0,0.4,0.064,0.299
P0212,IT,Purchase order processing,201,7.7,0.742,3,2,309.54,0.671,207.7,6231040.0,0.6,0,0.417,0.012,0.296
P0016,Human Resources,Invoice validation,156,33.1,0.501,5,4,1032.72,0.5905,609.82,18294635.0,0.68,0,0.407,0.038,0.296
P0288,Human Resources,Inventory update,91,49.0,0.534,5,4,891.8,0.607,541.32,16239678.0,0.68,0,0.407,0.034,0.295
P0172,Human Resources,Email request processing,251,11.2,0.903,4,5,562.24,0.6915,388.79,11663669.0,0.48,0,0.409,0.024,0.293
P0157,IT,Account reconciliation,170,13.9,0.793,5,5,472.6,0.6965,329.17,9874977.0,0.6,0,0.409,0.02,0.292
P0087,Procurement,Invoice validation,233,21.9,0.73,2,3,1020.54,0.565,576.61,17298153.0,0.4,0,0.401,0.036,0.292
P0139,IT,Compliance reporting,433,23.2,0.478,3,4,2009.12,0.459,922.19,27665582.0,0.44,0,0.393,0.058,0.292
P0146,IT,Email request processing,315,17.8,0.575,2,2,1121.4,0.5275,591.54,17746155.0,0.48,0,0.401,0.037,0.292
P0069,Sales,Invoice validation,265,21.0,0.716,1,3,1113.0,0.498,554.27,16628220.0,0.28,0,0.401,0.035,0.291
P0060,Human Resources,Data consolidation,232,8.7,0.884,2,3,403.68,0.642,259.16,7774877.0,0.4,0,0.407,0.016,0.29
P0001,IT,Invoice validation,252,31.4,0.537,3,5,1582.56,0.4485,709.78,21293345.0,0.36,0,0.393,0.045,0.289
P0036,Human Resources,Compliance reporting,1788,8.4,0.678,3,4,3003.84,0.559,1679.15,50374397.0,0.44,0,0.367,0.107,0.289
P0258,Procurement,Payment reconciliation,200,20.9,0.526,1,2,836.0,0.443,370.35,11110440.0,0.36,0,0.401,0.023,0.288
P0179,Finance,Payment reconciliation,223,29.7,0.59,3,4,1324.62,0.515,682.18,20465379.0,0.44,0,0.393,0.043,0.288
P0167,Logistics,Ticket classification,146,33.4,0.481,1,2,975.28,0.4205,410.11,12303157.0,0.36,0,0.401,0.025,0.288
P0106,Operations,Monthly reporting,168,24.0,0.605,1,1,806.4,0.5225,421.34,12640320.0,0.44,0,0.401,0.026,0.288
P0093,Operations,Document classification,194,32.7,0.67,3,4,1268.76,0.555,704.16,21124854.0,0.44,0,0.393,0.044,0.288
P0235,Sales,Monthly reporting,177,22.0,0.676,1,3,778.8,0.478,372.27,11167992.0,0.28,0,0.401,0.023,0.288
P0159,Finance,Customer onboarding,400,19.8,0.624,1,4,1584.0,0.412,652.61,19578240.0,0.2,0,0.393,0.041,0.287
P0107,Procurement,Monthly reporting,250,25.5,0.461,4,4,1275.0,0.5105,650.89,19526625.0,0.56,0,0.393,0.041,0.287
P0297,Procurement,Contract review,80,24.8,0.66,1,1,396.8,0.55,218.24,6547200.0,0.44,0,0.401,0.013,0.285
P0126,Logistics,Compliance reporting,77,30.5,0.602,1,1,469.7,0.521,244.71,7341411.0,0.44,0,0.401,0.015,0.285
P0173,Customer Service,Customer data entry,82,22.3,0.564,2,3,365.72,0.482,176.28,5288311.0,0.4,0,0.401,0.01,0.284
P0220,IT,Inventory update,57,36.5,0.29,4,3,416.1,0.465,193.49,5804595.0,0.64,0,0.401,0.012,0.284
P0251,Procurement,Document classification,71,24.3,0.614,2,1,345.06,0.587,202.55,6076507.0,0.56,0,0.401,0.012,0.284
P0228,Procurement,Data consolidation,46,22.2,0.577,2,3,204.24,0.4885,99.77,2993137.0,0.4,0,0.401,0.006,0.283
P0262,Procurement,Account reconciliation,213,20.6,0.806,1,5,877.56,0.463,406.31,12189308.0,0.12,0,0.392,0.025,0.282
P0065,IT,Inventory update,217,20.0,0.769,1,5,868.0,0.4445,385.83,11574780.0,0.12,0,0.392,0.024,0.282
P0076,Operations,Compliance reporting,126,26.8,0.982,1,5,675.36,0.551,372.12,11163701.0,0.12,0,0.392,0.023,0.281
P0085,IT,Claims review,539,14.6,0.754,3,4,1573.88,0.597,939.61,28188191.0,0.44,0,0.367,0.059,0.275
P0077,Sales,Purchase order processing,611,13.3,0.64,4,4,1625.26,0.6,975.16,29254680.0,0.56,0,0.367,0.062,0.275
P0100,Human Resources,Contract review,317,17.2,0.72,2,3,1090.48,0.56,610.67,18320064.0,0.4,0,0.375,0.038,0.274
P0122,Human Resources,Customer data entry,618,15.8,0.609,2,5,1952.88,0.4245,829.0,24869927.0,0.24,0,0.367,0.052,0.272
P0272,Logistics,Email request processing,389,12.9,0.637,2,3,1003.62,0.5185,520.38,15611309.0,0.4,0,0.375,0.032,0.272
P0211,IT,Inventory update,652,8.4,0.663,1,3,1095.36,0.4715,516.46,15493867.0,0.28,0,0.375,0.032,0.272
P0078,Sales,Contract review,563,10.3,0.391,1,3,1159.78,0.3355,389.11,11673186.0,0.28,0,0.375,0.024,0.27
P0102,Operations,Contract review,611,5.6,0.671,2,3,684.32,0.5355,366.45,10993601.0,0.4,0,0.375,0.023,0.269
P0151,Customer Service,Customer data entry,257,11.4,0.588,3,2,585.96,0.594,348.06,10441807.0,0.6,0,0.375,0.021,0.269
P0286,Customer Service,Customer data entry,409,6.5,0.682,3,2,531.7,0.641,340.82,10224591.0,0.6,0,0.375,0.021,0.269
P0232,Sales,Purchase order processing,317,12.9,0.45,1,1,817.86,0.445,363.95,10918431.0,0.44,0,0.375,0.022,0.269
P0236,Sales,Monthly reporting,249,14.3,0.449,2,1,712.14,0.5045,359.27,10778239.0,0.56,0,0.375,0.022,0.269
P0047,Logistics,Invoice validation,707,8.6,0.595,4,5,1216.04,0.5375,653.62,19608645.0,0.48,0,0.367,0.041,0.269
P0110,IT,Customer onboarding,725,4.5,0.547,2,2,652.5,0.5135,335.06,10051763.0,0.48,0,0.375,0.021,0.269
P0194,IT,Email request processing,487,6.1,0.687,1,2,594.14,0.5235,311.03,9330969.0,0.36,0,0.375,0.019,0.268
P0265,Customer Service,Payment reconciliation,451,5.3,0.722,1,1,478.06,0.581,277.75,8332586.0,0.44,0,0.375,0.017,0.268
P0176,Procurement,Document classification,295,8.5,0.713,2,1,501.5,0.6365,319.2,9576143.0,0.56,0,0.375,0.02,0.268
P0109,Procurement,Customer data entry,349,5.6,0.678,2,2,390.88,0.579,226.32,6789586.0,0.48,0,0.375,0.014,0.267
P0234,Sales,Account reconciliation,195,8.8,0.746,1,1,343.2,0.593,203.52,6105528.0,0.44,0,0.375,0.012,0.266
P0267,Sales,Document classification,399,4.9,0.526,1,1,391.02,0.483,188.86,5665880.0,0.44,0,0.375,0.011,0.266
P0226,Operations,Invoice validation,351,12.1,0.854,2,4,849.42,0.587,498.61,14958286.0,0.32,0,0.366,0.031,0.265
P0092,Sales,Ticket classification,225,4.9,0.528,3,2,220.5,0.564,124.36,3730860.0,0.6,0,0.375,0.007,0.265
P0051,IT,Ticket classification,199,9.5,0.276,3,2,378.1,0.438,165.61,4968234.0,0.6,0,0.375,0.01,0.265
P0090,Operations,Compliance reporting,663,7.2,0.901,1,5,954.72,0.5105,487.38,14621537.0,0.12,0,0.366,0.03,0.265
P0073,Finance,Account reconciliation,78,17.1,0.624,1,1,266.76,0.532,141.92,4257490.0,0.44,0,0.375,0.008,0.265
P0196,Operations,Purchase order processing,261,29.8,0.675,1,5,1555.56,0.3975,618.34,18550053.0,0.12,0,0.36,0.039,0.264
P0269,IT,Customer onboarding,185,32.3,0.453,5,5,1195.1,0.5265,629.22,18876604.0,0.6,0,0.36,0.039,0.264
P0079,IT,Contract review,188,4.7,0.705,3,3,176.72,0.6125,108.24,3247230.0,0.52,0,0.375,0.006,0.264
P0206,Human Resources,Contract review,53,7.7,0.517,3,3,81.62,0.5185,42.32,1269599.0,0.52,0,0.375,0.002,0.263
P0218,Human Resources,Customer onboarding,257,21.9,0.602,3,4,1125.66,0.521,586.47,17594066.0,0.44,0,0.36,0.037,0.263
P0158,Operations,Data consolidation,259,15.2,0.795,1,5,787.36,0.4575,360.22,10806516.0,0.12,0,0.366,0.022,0.263
P0044,Logistics,Purchase order processing,227,2.0,0.522,3,3,90.8,0.521,47.31,1419204.0,0.52,0,0.375,0.002,0.263
P0170,Procurement,Data consolidation,666,4.2,0.863,3,4,559.44,0.6515,364.48,10934255.0,0.44,0,0.366,0.022,0.263
P0222,Customer Service,Contract review,149,28.1,0.673,5,5,837.38,0.6365,532.99,15989771.0,0.6,0,0.36,0.033,0.262
P0136,Human Resources,Customer data entry,263,39.9,0.391,1,5,2098.74,0.2555,536.23,16086842.0,0.12,0,0.36,0.034,0.262
P0200,Customer Service,Inventory update,225,24.6,0.716,2,5,1107.0,0.478,529.15,15874380.0,0.24,0,0.36,0.033,0.262
P0138,Finance,Ticket classification,137,36.3,0.576,4,5,994.62,0.528,525.16,15754781.0,0.48,0,0.36,0.033,0.262
P0198,Sales,Email request processing,255,25.4,0.64,1,5,1295.4,0.38,492.25,14767560.0,0.12,0,0.36,0.031,0.261
P0074,Operations,Payment reconciliation,231,18.8,0.665,4,5,868.56,0.5725,497.25,14917518.0,0.48,0,0.36,0.031,0.261
P0277,Finance,Customer onboarding,210,8.3,0.93,2,4,348.6,0.625,217.88,6536250.0,0.32,0,0.366,0.013,0.26
P0011,Customer Service,Document classification,184,5.2,0.81,2,5,191.36,0.525,100.46,3013920.0,0.24,0,0.366,0.006,0.258
P0062,IT,Customer data entry,407,2.0,0.927,1,4,162.8,0.5635,91.74,2752134.0,0.2,0,0.366,0.005,0.258
P0241,Operations,Contract review,164,19.6,0.756,2,4,642.88,0.538,345.87,10376083.0,0.32,0,0.36,0.021,0.258
P0144,Logistics,Invoice validation,160,4.6,0.894,2,5,147.2,0.567,83.46,2503872.0,0.24,0,0.366,0.004,0.257
P0081,IT,Customer data entry,62,7.6,0.914,3,5,94.24,0.637,60.03,1800926.0,0.36,0,0.366,0.003,0.257
P0127,Operations,Customer data entry,71,19.1,0.724,3,5,271.22,0.542,147.0,4410037.0,0.36,0,0.36,0.009,0.255
P0221,Customer Service,Purchase order processing,652,10.2,0.734,1,5,1330.08,0.427,567.94,17038325.0,0.12,0,0.334,0.036,0.245
P0264,Finance,Account reconciliation,571,10.6,0.314,4,5,1210.52,0.397,480.58,14417293.0,0.48,0,0.334,0.03,0.243
P0242,IT,Inventory update,329,12.4,0.748,2,5,815.92,0.494,403.06,12091934.0,0.24,0,0.334,0.025,0.241
P0202,Logistics,Inventory update,211,14.8,0.676,3,5,624.56,0.518,323.52,9705662.0,0.36,0,0.334,0.02,0.24
P0255,Finance,Claims review,247,9.4,0.747,4,4,464.36,0.6535,303.46,9103778.0,0.56,0,0.334,0.019,0.24
P0130,Sales,Claims review,717,6.4,0.483,2,5,917.76,0.3615,331.77,9953107.0,0.24,0,0.334,0.02,0.24
P0114,Procurement,Document classification,457,5.3,0.703,4,4,484.42,0.6315,305.91,9177337.0,0.56,0,0.334,0.019,0.24
P0295,Operations,Purchase order processing,185,14.1,0.566,2,5,521.7,0.403,210.25,6307353.0,0.24,0,0.334,0.013,0.238
P0259,Logistics,Invoice validation,243,8.5,0.662,4,5,413.1,0.571,235.88,7076403.0,0.48,0,0.334,0.014,0.238
P0270,Customer Service,Document classification,215,7.5,0.589,5,5,322.5,0.5945,191.73,5751788.0,0.6,0,0.334,0.011,0.237
P0027,Procurement,Invoice validation,456,4.9,0.543,2,4,446.88,0.4315,192.83,5784862.0,0.32,0,0.334,0.011,0.237
P0009,IT,Claims review,114,13.0,0.469,2,4,296.4,0.3945,116.93,3507894.0,0.32,0,0.334,0.007,0.236
P0055,IT,Contract review,79,13.0,0.583,1,5,205.4,0.3515,72.2,2165943.0,0.12,0,0.334,0.004,0.235
P0283,Procurement,Invoice validation,97,2.6,0.649,1,4,50.44,0.4245,21.41,642353.0,0.2,0,0.334,0.0,0.234
P0105,Operations,Data consolidation,103,4.2,0.613,5,5,86.52,0.6065,52.47,1574231.0,0.6,0,0.334,0.002,0.234
P0263,Human Resources,Account reconciliation,44,3.6,0.641,2,5,31.68,0.4405,13.96,418651.0,0.24,0,0.334,0.0,0.234
